,ngram,NEG,NEUT,POS
170,거북한,1.0,0.0,0.0
171,모양,1.0,0.0,0.0
172,거북한,1.0,0.0,0.0
173,상태로,1.0,0.0,0.0
174,거북한,1.0,0.0,0.0
175,소리가,1.0,0.0,0.0
176,거북할,1.0,0.0,0.0
177,거북할,1.0,0.0,0.0
178,만큼,1.0,0.0,0.0
179,거슬려,1.0,0.0,0.0
180,불쾌하다,1.0,0.0,0.0
181,거절하거나,1.0,0.0,0.0
182,거절하거나,1.0,0.0,0.0
183,싫다는,1.0,0.0,0.0
184,거절하다,1.0,0.0,0.0
185,거짓,1.0,0.0,0.0
186,거짓말,1.0,0.0,0.0
187,거친,1.0,0.0,0.0
188,거친,1.0,0.0,0.0
189,데가,1.0,0.0,0.0
190,거친,1.0,0.0,0.0
191,말로,1.0,0.0,0.0
192,거친,1.0,0.0,0.0
193,모양,1.0,0.0,0.0
194,거친,1.0,0.0,0.0
195,목소리로,1.0,0.0,0.0
196,거친,1.0,0.0,0.0
197,성질이나,1.0,0.0,0.0
198,거친,1.0,0.0,0.0
199,소리가,1.0,0.0,0.0
200,거칠거나,1.0,0.0,0.0
201,사납게,1.0,0.0,0.0
202,거칠게,1.0,0.0,0.0
203,거칠게,1.0,0.0,0.0
204,나는,1.0,0.0,0.0
205,거칠게,1.0,0.0,0.0
206,말다툼하다,1.0,0.0,0.0
207,거칠게,1.0,0.0,0.0
208,말함,1.0,0.0,0.0
209,거칠게,1.0,0.0,0.0
210,몰아쉬는,1.0,0.0,0.0
211,거칠게,1.0,0.0,0.0
212,몰아쉬다,1.0,0.0,0.0
213,거칠게,1.0,0.0,0.0
214,소리가,1.0,0.0,0.0
215,거칠게,1.0,0.0,0.0
216,쉬는,1.0,0.0,0.0
217,거칠게,1.0,0.0,0.0
218,울려,1.0,0.0,0.0
219,거칠게,1.0,0.0,0.0
220,일다,1.0,0.0,0.0
221,거칠게,1.0,0.0,0.0
222,잇따라,1.0,0.0,0.0
223,거칠게,1.0,0.0,0.0
224,행동하다,1.0,0.0,0.0
225,거칠고,1.0,0.0,0.0
226,거칠고,1.0,0.0,0.0
227,가쁘게,1.0,0.0,0.0
228,거칠고,1.0,0.0,0.0
229,격한,1.0,0.0,0.0
230,거칠고,1.0,0.0,0.0
231,깔끄럽게,1.0,0.0,0.0
232,거칠고,1.0,0.0,0.0
